rule_id,node,rule,category,revision,chip_source,cardiac_transcriptomic_validation,cell_type_caveat,evidence
R12_REV,GCLC,GCLC = NRF2  # Note: BACH1 binds but no net expression change (compensation),Antioxidant,ANNOTATED: Noted ChIP-seq binding with compensation masking,"HEK293T: Warnatz 2011 ChIP-seq ✓ (binding confirmed, no expression change)","GSE193997: not significant (ρ=0.022, ns); GSE307385: ns; GSE240848: ns",Compensation mechanism may differ across cell types; cardiac validation shows no correlation as expected,"Warnatz 2011: ChIP-seq ✓, but no expression change on KD → compensation mechanism"
R13_REV,SLC7A11,SLC7A11 = (NRF2 OR BACH1) AND NOT KEAP1,Ferroptosis,FIXED: BACH1 shows activating effect in HEK293T (KD → -58% SLC7A11). NOTE: direction is cell-type dependent — BACH1 represses SLC7A11 in cancer cells (Su 2023 Nature Cancer).,HEK293T: Warnatz 2011 ChIP-seq ✓ (BACH1 KD DECREASES SLC7A11 → activation),"GSE193997 ✓ (ρ=+0.325, p<0.01, positive correlation = activating); GSE307385 ✓ (p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001)","CRITICAL: BACH1 regulation of SLC7A11 is cell-type dependent. In HEK293T, BACH1 activates SLC7A11 (KD → decrease). In multiple cancer lines, BACH1 represses SLC7A11 (HPPE inhibition → increase; Su 2023 Nature Cancer). Cardiac transcriptomic data support activation in cardiac I/R context, but cardiac ChIP-seq validation is needed.","Warnatz 2011: ChIP-seq ✓, BACH1 KD DECREASES SLC7A11 → BACH1 is activator in HEK293T. Su 2023: BACH1 represses SLC7A11 in cancer cells (context-dependent)."
R14_REV,FTH1,FTH1 = NRF2 AND NOT BACH1,Ferroptosis,FIXED: Added BACH1 repression (1.68x up on BACH1 KD),HEK293T: Warnatz 2011 ChIP-seq ✓,"GSE193997 ✓ (ρ=-0.407, p<0.01); GSE307385 ✓ (p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001)",ChIP-seq evidence from HEK293T only; cardiac validation at transcriptomic level,"Warnatz 2011: ChIP-seq ✓, 24h +1.68x"
R15_REV,SQSTM1,SQSTM1 = NRF2 AND NOT (KEAP1 OR BACH1),Antioxidant,"FIXED: Added BACH1 repression (1.58x at 24h, 1.42x at 72h)",HEK293T: Warnatz 2011 ChIP-seq ✓,"GSE193997 ✓ (ρ=-0.434, p<0.01); GSE307385 ✓ (p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001)",ChIP-seq evidence from HEK293T only; cardiac validation at transcriptomic level,"Warnatz 2011: ChIP-seq ✓, confirmed BACH1 target"
R16_REV,ME1,ME1 = NRF2 AND NOT BACH1,Antioxidant,FIXED: Added BACH1 repression (1.45x up at 72h),HEK293T: Warnatz 2011 ChIP-seq ✓,"GSE193997 ✓ (ρ=-0.559, p<0.01); GSE307385 ✓ (p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001)",ChIP-seq evidence from HEK293T only; cardiac validation at transcriptomic level,"Warnatz 2011: ChIP-seq ✓, late response"
R17,TXN,TXN = NRF2,Antioxidant,unchanged,N/A,N/A,,N/A
R18,TXN2,TXN2 = NRF2,Antioxidant,unchanged,N/A,N/A,,N/A
R19,SRXN1,SRXN1 = NRF2,Antioxidant,unchanged,N/A,N/A,,N/A
R20,HIF1A,HIF1A = hypoxia,Signaling,unchanged,N/A,N/A,,N/A
R21,NFKB1,NFKB1 = stress_signal,Signaling,unchanged,N/A,N/A,,N/A
R22,RELA,RELA = NFKB1,Signaling,unchanged,N/A,N/A,,N/A
R23,STAT3,STAT3 = cytokine,Signaling,unchanged,N/A,N/A,,N/A
R24,FTL,FTL = NRF2,Ferroptosis,unchanged,N/A,N/A,,N/A
R25,TFRC,TFRC = TFRC_basal,Ferroptosis,unchanged,N/A,N/A,,N/A
R26,G6PD,G6PD = NRF2,Antioxidant,unchanged,N/A,N/A,,N/A
R27,PTGS2,PTGS2 = NFKB1 OR STAT3,Signaling,unchanged,N/A,N/A,,N/A
